cp_depart_int,cp_depart_texte,cp_final_int,cp_final_texte,libelle_cp,num_departement_texte,nom_departement,region_tech
16918,16918,16000,16000,ANGOULEME,16,Charente,Sud-Ouest
75372,75372,75008,75008,PARIS 8,75,Paris,IDF
75815,75815,75017,75017,PARIS 7,75,Paris,IDF
27500,27500,27500,27500,AIZIER,27,Eure,Centre-Nord
39210,39210,39210,39210,ARLAY,39,Jura,Est
73470,73470,73470,73470,AYN,73,Savoie,AURA
77570,77570,77570,77570,AUFFERVILLE,77,Seine-et-Marne,IDF
91290,91290,91290,91290,ARPAJON,91,Essonne,IDF
95810,95810,95810,95810,ARRONVILLE,95,Val-d'Oise,IDF
1060,01060,1000,01000,BOURG EN BRESSE CEDEX 9,01,Ain,AURA
1018,01018,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1017,01017,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1013,01013,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1012,01012,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1011,01011,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1010,01010,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1009,01009,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1008,01008,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1007,01007,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1006,01006,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1005,01005,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1004,01004,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1003,01003,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1002,01002,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1001,01001,1000,01000,BOURG EN BRESSE CEDEX,01,Ain,AURA
1000,01000,1000,01000,BOURG EN BRESSE,01,Ain,AURA
1090,01090,1090,01090,FRANCHELEINS,01,Ain,AURA
1117,01117,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1116,01116,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1115,01115,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1112,01112,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1111,01111,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1108,01108,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1106,01106,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1105,01105,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1104,01104,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1103,01103,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1102,01102,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1101,01101,1100,01100,OYONNAX CEDEX,01,Ain,AURA
1100,01100,1100,01100,APREMONT,01,Ain,AURA
1110,01110,1110,01110,ARANC,01,Ain,AURA
1128,01128,1120,01120,MONTLUEL CEDEX,01,Ain,AURA
1127,01127,1120,01120,MONTLUEL CEDEX,01,Ain,AURA
1124,01124,1120,01120,MONTLUEL CEDEX,01,Ain,AURA
1123,01123,1120,01120,MONTLUEL CEDEX,01,Ain,AURA
1122,01122,1120,01120,MONTLUEL CEDEX,01,Ain,AURA
1121,01121,1120,01120,MONTLUEL CEDEX,01,Ain,AURA
1120,01120,1120,01120,LA BOISSE,01,Ain,AURA
