annee,mois,date_ferie,nom_jour_ferie
2004,janvier,2004-01-01,nouvel_an
2004,avril,2004-04-12,lundi_paques
2004,mai,2004-05-01,1er_mai
2004,mai,2004-05-08,8_mai
2004,mai,2004-05-20,ascension
2004,juillet,2004-07-14,14_juillet
2004,aout,2004-08-15,assomption
2004,novembre,2004-11-01,toussaint
2004,novembre,2004-11-11,11_novembre
2004,decembre,2004-12-25,noel
2005,janvier,2005-01-01,nouvel_an
2005,mars,2005-03-28,lundi_paques
2005,mai,2005-05-01,1er_mai
2005,mai,2005-05-05,ascension
2005,mai,2005-05-08,8_mai
2005,juillet,2005-07-14,14_juillet
2005,aout,2005-08-15,assomption
2005,novembre,2005-11-01,toussaint
2005,novembre,2005-11-11,11_novembre
2005,decembre,2005-12-25,noel
2006,janvier,2006-01-01,nouvel_an
2006,avril,2006-04-17,lundi_paques
2006,mai,2006-05-01,1er_mai
2006,mai,2006-05-08,8_mai
2006,mai,2006-05-25,ascension
2006,juillet,2006-07-14,14_juillet
2006,aout,2006-08-15,assomption
2006,novembre,2006-11-01,toussaint
2006,novembre,2006-11-11,11_novembre
2006,decembre,2006-12-25,noel
2007,janvier,2007-01-01,nouvel_an
2007,avril,2007-04-09,lundi_paques
2007,mai,2007-05-01,1er_mai
2007,mai,2007-05-08,8_mai
2007,mai,2007-05-17,ascension
2007,juillet,2007-07-14,14_juillet
2007,aout,2007-08-15,assomption
2007,novembre,2007-11-01,toussaint
2007,novembre,2007-11-11,11_novembre
2007,decembre,2007-12-25,noel
2008,janvier,2008-01-01,nouvel_an
2008,mars,2008-03-24,lundi_paques
2008,mai,2008-05-01,1er_mai
2008,mai,2008-05-01,ascension
2008,mai,2008-05-08,8_mai
2008,juillet,2008-07-14,14_juillet
2008,aout,2008-08-15,assomption
2008,novembre,2008-11-01,toussaint
2008,novembre,2008-11-11,11_novembre
2008,decembre,2008-12-25,noel
2009,janvier,2009-01-01,nouvel_an
2009,avril,2009-04-13,lundi_paques
2009,mai,2009-05-01,1er_mai
2009,mai,2009-05-08,8_mai
2009,mai,2009-05-21,ascension
2009,juillet,2009-07-14,14_juillet
2009,aout,2009-08-15,assomption
2009,novembre,2009-11-01,toussaint
2009,novembre,2009-11-11,11_novembre
2009,decembre,2009-12-25,noel
2010,janvier,2010-01-01,nouvel_an
2010,avril,2010-04-05,lundi_paques
2010,mai,2010-05-01,1er_mai
2010,mai,2010-05-08,8_mai
2010,mai,2010-05-13,ascension
2010,juillet,2010-07-14,14_juillet
2010,aout,2010-08-15,assomption
2010,novembre,2010-11-01,toussaint
2010,novembre,2010-11-11,11_novembre
2010,decembre,2010-12-25,noel
2011,janvier,2011-01-01,nouvel_an
2011,avril,2011-04-25,lundi_paques
2011,mai,2011-05-01,1er_mai
2011,mai,2011-05-08,8_mai
2011,juin,2011-06-02,ascension
2011,juillet,2011-07-14,14_juillet
2011,aout,2011-08-15,assomption
2011,novembre,2011-11-01,toussaint
2011,novembre,2011-11-11,11_novembre
2011,decembre,2011-12-25,noel
2012,janvier,2012-01-01,nouvel_an
2012,avril,2012-04-09,lundi_paques
2012,mai,2012-05-01,1er_mai
2012,mai,2012-05-08,8_mai
2012,mai,2012-05-17,ascension
2012,juillet,2012-07-14,14_juillet
2012,aout,2012-08-15,assomption
2012,novembre,2012-11-01,toussaint
2012,novembre,2012-11-11,11_novembre
2012,decembre,2012-12-25,noel
2013,janvier,2013-01-01,nouvel_an
2013,avril,2013-04-01,lundi_paques
2013,mai,2013-05-01,1er_mai
2013,mai,2013-05-08,8_mai
2013,mai,2013-05-09,ascension
2013,juillet,2013-07-14,14_juillet
2013,aout,2013-08-15,assomption
2013,novembre,2013-11-01,toussaint
2013,novembre,2013-11-11,11_novembre
2013,decembre,2013-12-25,noel
2014,janvier,2014-01-01,nouvel_an
2014,avril,2014-04-21,lundi_paques
2014,mai,2014-05-01,1er_mai
2014,mai,2014-05-08,8_mai
2014,mai,2014-05-29,ascension
2014,juillet,2014-07-14,14_juillet
2014,aout,2014-08-15,assomption
2014,novembre,2014-11-01,toussaint
2014,novembre,2014-11-11,11_novembre
2014,decembre,2014-12-25,noel
2015,janvier,2015-01-01,nouvel_an
2015,avril,2015-04-06,lundi_paques
2015,mai,2015-05-01,1er_mai
2015,mai,2015-05-08,8_mai
2015,mai,2015-05-14,ascension
2015,juillet,2015-07-14,14_juillet
2015,aout,2015-08-15,assomption
2015,novembre,2015-11-01,toussaint
2015,novembre,2015-11-11,11_novembre
2015,decembre,2015-12-25,noel
2016,janvier,2016-01-01,nouvel_an
2016,mars,2016-03-28,lundi_paques
2016,mai,2016-05-01,1er_mai
2016,mai,2016-05-05,ascension
2016,mai,2016-05-08,8_mai
2016,juillet,2016-07-14,14_juillet
2016,aout,2016-08-15,assomption
2016,novembre,2016-11-01,toussaint
2016,novembre,2016-11-11,11_novembre
2016,decembre,2016-12-25,noel
2017,janvier,2017-01-01,nouvel_an
2017,avril,2017-04-17,lundi_paques
2017,mai,2017-05-01,1er_mai
2017,mai,2017-05-08,8_mai
2017,mai,2017-05-25,ascension
2017,juillet,2017-07-14,14_juillet
2017,aout,2017-08-15,assomption
2017,novembre,2017-11-01,toussaint
2017,novembre,2017-11-11,11_novembre
2017,decembre,2017-12-25,noel
2018,janvier,2018-01-01,nouvel_an
2018,avril,2018-04-02,lundi_paques
2018,mai,2018-05-01,1er_mai
2018,mai,2018-05-08,8_mai
2018,mai,2018-05-10,ascension
2018,juillet,2018-07-14,14_juillet
2018,aout,2018-08-15,assomption
2018,novembre,2018-11-01,toussaint
2018,novembre,2018-11-11,11_novembre
2018,decembre,2018-12-25,noel
2019,janvier,2019-01-01,nouvel_an
2019,avril,2019-04-22,lundi_paques
2019,mai,2019-05-01,1er_mai
2019,mai,2019-05-08,8_mai
2019,mai,2019-05-30,ascension
2019,juillet,2019-07-14,14_juillet
2019,aout,2019-08-15,assomption
2019,novembre,2019-11-01,toussaint
2019,novembre,2019-11-11,11_novembre
2019,decembre,2019-12-25,noel
2020,janvier,2020-01-01,nouvel_an
2020,avril,2020-04-13,lundi_paques
2020,mai,2020-05-01,1er_mai
2020,mai,2020-05-08,8_mai
2020,mai,2020-05-21,ascension
2020,juillet,2020-07-14,14_juillet
2020,aout,2020-08-15,assomption
2020,novembre,2020-11-01,toussaint
2020,novembre,2020-11-11,11_novembre
2020,decembre,2020-12-25,noel
2021,janvier,2021-01-01,nouvel_an
2021,avril,2021-04-05,lundi_paques
2021,mai,2021-05-01,1er_mai
2021,mai,2021-05-08,8_mai
2021,mai,2021-05-13,ascension
2021,juillet,2021-07-14,14_juillet
2021,aout,2021-08-15,assomption
2021,novembre,2021-11-01,toussaint
2021,novembre,2021-11-11,11_novembre
2021,decembre,2021-12-25,noel
2022,janvier,2022-01-01,nouvel_an
2022,avril,2022-04-18,lundi_paques
2022,mai,2022-05-01,1er_mai
2022,mai,2022-05-08,8_mai
2022,mai,2022-05-26,ascension
2022,juillet,2022-07-14,14_juillet
2022,aout,2022-08-15,assomption
2022,novembre,2022-11-01,toussaint
2022,novembre,2022-11-11,11_novembre
2022,decembre,2022-12-25,noel
2023,janvier,2023-01-01,nouvel_an
2023,avril,2023-04-10,lundi_paques
2023,mai,2023-05-01,1er_mai
2023,mai,2023-05-08,8_mai
2023,mai,2023-05-18,ascension
2023,juillet,2023-07-14,14_juillet
2023,aout,2023-08-15,assomption
2023,novembre,2023-11-01,toussaint
2023,novembre,2023-11-11,11_novembre
2023,decembre,2023-12-25,noel
2024,janvier,2024-01-01,nouvel_an
2024,avril,2024-04-01,lundi_paques
2024,mai,2024-05-01,1er_mai
2024,mai,2024-05-08,8_mai
2024,mai,2024-05-09,ascension
2024,juillet,2024-07-14,14_juillet
2024,aout,2024-08-15,assomption
2024,novembre,2024-11-01,toussaint
2024,novembre,2024-11-11,11_novembre
2024,decembre,2024-12-25,noel
2025,janvier,2025-01-01,nouvel_an
2025,avril,2025-04-21,lundi_paques
2025,mai,2025-05-01,1er_mai
2025,mai,2025-05-08,8_mai
2025,mai,2025-05-29,ascension
2025,juillet,2025-07-14,14_juillet
2025,aout,2025-08-15,assomption
2025,novembre,2025-11-01,toussaint
2025,novembre,2025-11-11,11_novembre
2025,decembre,2025-12-25,noel
2026,janvier,2026-01-01,nouvel_an
2026,avril,2026-04-06,lundi_paques
2026,mai,2026-05-01,1er_mai
2026,mai,2026-05-08,8_mai
2026,mai,2026-05-14,ascension
2026,juillet,2026-07-14,14_juillet
2026,aout,2026-08-15,assomption
2026,novembre,2026-11-01,toussaint
2026,novembre,2026-11-11,11_novembre
2026,decembre,2026-12-25,noel
2027,janvier,2027-01-01,nouvel_an
2027,mars,2027-03-29,lundi_paques
2027,mai,2027-05-01,1er_mai
2027,mai,2027-05-06,ascension
2027,mai,2027-05-08,8_mai
2027,juillet,2027-07-14,14_juillet
2027,aout,2027-08-15,assomption
2027,novembre,2027-11-01,toussaint
2027,novembre,2027-11-11,11_novembre
2027,decembre,2027-12-25,noel
2028,janvier,2028-01-01,nouvel_an
2028,avril,2028-04-17,lundi_paques
2028,mai,2028-05-01,1er_mai
2028,mai,2028-05-08,8_mai
2028,mai,2028-05-25,ascension
2028,juillet,2028-07-14,14_juillet
2028,aout,2028-08-15,assomption
2028,novembre,2028-11-01,toussaint
2028,novembre,2028-11-11,11_novembre
2028,decembre,2028-12-25,noel
2029,janvier,2029-01-01,nouvel_an
2029,avril,2029-04-02,lundi_paques
2029,mai,2029-05-01,1er_mai
2029,mai,2029-05-08,8_mai
2029,juillet,2029-07-14,14_juillet
2029,aout,2029-08-15,assomption
2029,novembre,2029-11-01,toussaint
2029,novembre,2029-11-11,11_novembre
2029,decembre,2029-12-25,noel
