code_comptable,designation_compte,macro_categorie_pnl_bu
611001,Administratif fees,Frais Directs & Amortissements
612200,CREDIT BAIL MOBILIER,Frais Directs & Amortissements
681110,DOT AMORT IMMO INCORPO,Frais Directs & Amortissements
681120,DOT. AMORT. IMMO. CORPORELLES,Frais Directs & Amortissements
633500,CONTRIBUTION AGEFIPH,Masse Salariale
647000,AUTRES CHARGES SOCIALES,Masse Salariale
647100,TICKETS RESTAURANT,Masse Salariale
647200,CSE FONCTIONNEMENT,Masse Salariale
647500,MEDECINE TRAVAIL PHCIE,Masse Salariale
648000,AUTR.CHARGES DE PERSONNEL,Masse Salariale
606300,FOURN.PETIT OUTILLAGE,Frais Directs & Amortissements
606330,PRODUITS D'ENTRETIEN,Frais Directs & Amortissements
606400,FOURNITURES DE BUREAU,Frais Directs & Amortissements
606800,ACHATS DIVERS,Frais Directs & Amortissements
616081,ASSURANCE S/EMPRUNT,Frais Directs & Amortissements
617000,Etudes et recherches,Frais Directs & Amortissements
618100,DOCUMENTATION,Frais Directs & Amortissements
621000,PERSONNEL INTERIMAIRE,Frais Directs & Amortissements
622100,COMMISSIONS (TO GOOD TO GO),Frais Directs & Amortissements
622200,COMMISSIONS ET COURTAGE,Frais Directs & Amortissements
622600,HONORAIRES,Frais Directs & Amortissements
622605,Honoraires prestations sociales,Frais Directs & Amortissements
622610,HONORAIRES AVOCAT,Frais Directs & Amortissements
622700,FRAIS D_ACTES,Frais Directs & Amortissements
623400,cadeaux clientèles/salariés,Frais Directs & Amortissements
623800,DONS,Frais Directs & Amortissements
625500,FRAIS DIVERS,Frais Directs & Amortissements
625700,RECEPTIONS/REUNION COM/ REPRESENTATION,Frais Directs & Amortissements
626000,AFFRANCHISSEMENT,Frais Directs & Amortissements
626100,TELEPHONE/INTERNET,Frais Directs & Amortissements
627500,FRAIS BANCAIRES,Frais Directs & Amortissements
627501,FRAIS BANCAIRES (STRIPE/DA/FRIGO),Frais Directs & Amortissements
628400,FRAIS DE RECRUTEMENT,Frais Directs & Amortissements
633200,TAXE APPRENTISSAGE,Masse Salariale
633300,PART. FORMATION,Masse Salariale
633400,1% LOGEMENT,Masse Salariale
645100,URSSAF,Masse Salariale
645300,APICIL,Masse Salariale
645400,POLE EMPLOI,Masse Salariale
645500,PREVOYANCE,Masse Salariale
645520,CHARGES / BONUS A PAYER,Masse Salariale
645600,MUTUELLE,Masse Salariale
706250,CASTALIE PRESTATION SAV,Chiffre d'Affaires
706260,CASTALIE COMMISSIONS COMMERCIALES,Chiffre d'Affaires
707500,CASTALIE VENTES 20%,Chiffre d'Affaires
708820,Refacturation Bons de réduction 20%,Chiffre d'Affaires
706430,AUTRES PARTENAIRES PRESTATIONS TECH,Chiffre d'Affaires
706010,PRESTATION 20% DIVERS,Chiffre d'Affaires
706100,NNFR COMMISSIONS TECHNIQUES,Chiffre d'Affaires
706210,NESHU COMMISSIONS PARTENAIRES,Chiffre d'Affaires
706400,NESHU FONTAINE LOC 20%,Chiffre d'Affaires
706420,NESHUPRESTATION 20%,Chiffre d'Affaires
707300,NESHU 10%,Chiffre d'Affaires
707305,NESHU 5.5%,Chiffre d'Affaires
707320,NESHU 20%,Chiffre d'Affaires
709710,NESHU REMISE RABAIS10%,Chiffre d'Affaires
709711,NESHU RISTOURNE 20%,Chiffre d'Affaires
706300,NUNSHEN FORMATION EXPORT,Chiffre d'Affaires
706310,NUNSHEN FORMATION,Chiffre d'Affaires
706320,NUNSHEN DECOMMISSION,Chiffre d'Affaires
707000,NUNSHEN 20%,Chiffre d'Affaires
