article_ref_nomad,article_desc,article_ref_cordon,article_prix_unitaire
40691,Rech poussoir soupa 470 monté,07EUGPPC0109,1.22
44952,Cache 703 gobelet noir,07EUGCOS0160,0.68
44954,Brise jet 703 noir,07EUGCOS0161,0.73
48119,Element chauffage PTC,Non Référencé CORDON,0
48733,Transformateur MS6622a 230V,07EUGPEM0048,23.22
49188,Amortisseur 703 égouttoir noir,07EUGPPC0288,0.05
92361,Tower - Drawer Big Complete,07AEQCOS0007,262.16
92367,Tower - Support Plate Base (compl),07AEQCOS0008,94.05
92371,Tower - Cover Glass,07AEQCOS0010,3.06
92515,Tower - Keys for dispenser,07AEQPPC0012,4.34
92521,Tower - Screw feet for table support,07AEQPPC0011,0.91
92762,Tower - Dispenser RFID Antenna-Set,07AEQPEM0005,220.14
93090,Tower CS - Cable  Dispenser - Monnayeur,07AEQPEM0012,35.3
96594,Clé bac à eau Momento,07EUGPPC0678,0.77
96761,Glissière chassis,07EVOPPC0001,21.84
96766,Câblage + capteur porte,07EVOCAB0005,2.57
96775,Carte d'alimentation,07EVOCEL0002,23.7
96777,Bouton ON/OFF,07EVOPEM0003,4.1
96779,Carte de commande,07EVOCEL0001,100.22
96780,Capteur barrière sortie de capsule,07EVOPEM0002,14.92
96781,Recepteur barrière sortie de capsule,07EVOPEM0004,13.98
96782,Cable général,07EVOCAB0001,49.03
96785,Bac à capsule complet,07EVOPPC0011,175.78
96786,Bac à capsule vierge,07EVOPPC0003,19.4
96789,Courroie plateau,07EVOPPC0005,8.25
96791,Moteur tiroir rouleau/plateau,07EVOPEM0005,22.53
96792,Poulie plateau,07EVOPPC0006,2.25
96795,Joint Torique rouleau,07EVOPPC0004,1.2
96798,Glissière Tiroir,07EVOPPC0002,4.23
96800,Capteur capsule tiroir,07EVOPEM0006,16.08
96804,Carte tiroirs,07EVOCEL0004,50.57
96805,Cablâge plateau,07EVOCAB0004,5.95
96810,Cablâge liaison plateau/structure,07EVOCAB0003,21.99
96828,Carte système de paiment,07EVOCEL0003,11.75
96834,Ecran Tacile,07EVOLCD0001,496.18
96836,Vis cache lecteur QR Code,07EVOPPC0009,0.82
96840,LED Sortie de capsule,07EVOPEM0001,1.72
96851,Tower Link,07EVOCAB0002,12.89
96867,Tapis plateau rotatif,07EVOPPC0008,6.11
96964,Serrure porte Dispenser,07EVOPPC0010,3.8
109385,Kit réseau d'eau Momento 120,07EUGPPC0711,21.72
114673,Kit réseau d'eau Momento 100,07EUGPPC0692,21.5
Avertissement,Avertissement cas de mauvaise utilisation au client,Non Référencé CORDON,0
0000100,Détartrage,Non Référencé CORDON,0
0000120,Détartrage partie Lait,Non Référencé CORDON,0
0000349,Thermostat 140C/ 6.0A Z420NN8E,07EUGPEM0097,1.06
0000375,Bloc de jonction EKL OEF PA,Non Référencé CORDON,0
0000394,Pieds caoutchouc SJ-5816 noirs,07EUGCOS0044,0.02
0001020,Corps valve 946 noir (964),07EUGPPC0389,0.06
0001053,Bride anti-traction câble,07EUGPPC0090,0.01
0001223,Fil torsadé EUR blanc 150mm,07EUGPEM0098,0.08
0001416,Ressort à press. 0.65/Da12.00/,07EUGPPC0390,0.02
0001517,Ecrou M4 6-pan zing,Non Référencé CORDON,0
0001520,Vis M4.0x 7 laiton nickelé,07EUGPPC0391,0.19
0001533,Ann ressort M4 zing,Non Référencé CORDON,0
0001555,O-Ring 006.75x1.78 EPDM,07EUGPPC0392,0.02
0001558,Joint 006.00x3.00 silicone,Non Référencé CORDON,0
0001565,Joint rond sortie Pompe,07EUGPPC0008,0.06
0003294,Fil torsadé EUR bleu 120mm,07EUGPEM0099,0.07
0003519,Fil torsadé EUR bleu 290mm,07EUGPEM0100,0.09
0005245,Rondelle ressort M5 zinguée,07EUGPPC0092,0.01
0005247,Rondelle ressort M3,07EUGPPC0136,0.01
0005454,Tuyau moulé silic 70 Shore neutre,07EUGPPC0138,0.28
0005466,Raccord pour pompe,Non Référencé CORDON,0
0005470,Clip inox,07EUGPPC0012,0.01
0006528,Anneau d=9.5x7.2x2.0mm pour,07EUGPPC0140,0.12
0006751,Ecrou M3 6-pan 0.8,Non Référencé CORDON,0
0007334,Bride pour thermostat 885 38x50 mm,07EUGPEM0101,0.52
0007450,Tige de fixation 885 noire,07EUGPPC0395,0.03
0007731,Clip ressort FM 11753 PHO,07EUGPPC0396,0.03
0007920,Fil torsadé EUR bleu 170mm,Non Référencé CORDON,0
0008236,Rondelle frein D=3.2 inox,07EUGPPC0397,0.05
0008239,Rondelle Frein D=3 P-6490,07EUGPPC0141,0.02
0008242,Rondelle U 04.3x12.0x1.5,07EUGPPC0398,0.01
0008244,Fil torsadé EUR bleu 210mm,07EUGPEM0102,0.08
0008308,Supp. pompe Ulka,07EUGPPC0400,0.19
0008328,Vis GF/Tapt M4x14 zing,07EUGPPC0401,0.09
0008899,Fil torsadé EUR blanc 140mm,07EUGPEM0103,0.07
0008958,Fil tors. EU bleu,07EUGPPC0203,0.16
0009040,Interrupteur,07EUGPEM0104,0.56
0009328,Joint rond 3.4x1.9 EPDM,07EUGPPC0043,0.02
0010683,Tuyau FEP D4.0/2.03x130mm 2 bride,07EUGPPC0145,0.43
0010684,Tuyau FED D4.0/2.03x200mm 2 brides,07EUGPPC0146,0.42
0011016,Ejecteur 758 noir,07EUGPPC0522,0.81
0011021,Etrier montage 758 (OCS),07EUGPPC0403,2.56
0011025,Vis sans tête 758,07EUGPPC0404,0.45
0011028,Axe 758 pour fermeture,07EUGPPC0405,0.27
0011080,Pièce d'entraînement 758,07EUGPPC0406,0.27
0011081,Axe de palier 758 (OCS),07EUGPPC0407,0.49
0011762,Pompe Gémini 230V,07EUGPEM0037,9.47
0011964,Filtre à eau 863 natural,07EUGPPC0408,0.14
0012002,O-ring 8x2.62 silicone,07EUGPPC0148,0.08
0012008,Fil torsadé EUR brun 290mm,07EUGPEM0105,0.09
0012026,Couvercle 758 réserv eau noir,07EUGCOS0240,0.76
0012028,Cache 758 noire,07EUGCOS0241,0.26
0012034,Elem. tôle 758 gauche,07EUGCOS0242,11.94
0012035,Poignée réservoir 758,07EUGCOS0243,0.14
0012036,Grille d'égouttoir 758 droite,07EUGCOS0244,0.85
0012037,Egouttoir 758 Inox gauche,07EUGCOS0245,0.85
0012038,Egouttoir 758 Inox milieu,07EUGCOS0246,0.86
0012040,Recouv. 758 noir,07EUGCOS0270,0.15
0012045,Supp. élect. chauf. 758 noir,07EUGPPC0409,2.73
0012048,Tube vapeur 758,07EUGCOS0279,2.61
0012050,Poignée acc. cappucc. 758,07EUGCOS0247,0.37
0012061,Elem. isolant 758 noir plat. chauf.,07EUGPPC0411,0.24
0012062,Cache 758 soupa noir,07EUGPPC0412,0.09
0012064,Racc. fluide 758 tube vap.,07EUGPPC0518,3.76
0012066,Support débimètre 758 noir,Non Référencé CORDON,0
0012073,Cache 758 noir,07EUGCOS0272,0.05
0012075,Support pour détecteur 758 transparent,07EUGPPC0413,0.14
0012077,Recouv. prise courant 758,07EUGPPC0479,0.2
0012078,Réflecteur 758 blanc,07EUGPPC0414,0.26
0012084,C-Clip 2.9 zing,Non Référencé CORDON,0
0012085,Prise à froid. noire,07EUGPEM0106,0.78
0012087,Supp. LED 758 scellé 2xAWG24,Non Référencé CORDON,0
0012089,Ecrou hexagonal M10x1.5,07EUGPPC0415,0.06
0012090,Rondelle crantée M10 5x18mm,07EUGPPC0416,0.03
0012092,Cordon éléctrique noir 758,07EUGPEM0107,2.08
0012093,Vis M4.0x 8 inoxydable,07EUGPPC0417,0.1
0012094,Tuyau FEP 4.0x2.0x077mm,07EUGPPC0418,0.36
0012120,Tuyau silicone 05.0x2.00x430,07EUGPPC0419,0.36
0012139,Ressort traction D=0.8x5.2x,Non Référencé CORDON,0
0012216,Tuyau FEP 4.0x2.0x280mm,07EUGPPC0420,0.64
0012301,Connex. 758 alu,07EUGPPC0421,1.09
0012336,Détecteur Thermobloc,07EUGPEM0033,1.22
0012440,Tuyau silicone 08.0x1.75x260,Non Référencé CORDON,0
0012514,Cache 758 circ. imp. noir,07EUGPPC0422,0.09
0012605,Soupape purge Ulka bouchon encliqué,07EUGPPC0423,1.03
0012864,Equip. Mousse 758 OCS cpl,07EUGCOS0283,8.02
0012919,Multiple fil torsadé 758 EU jaune,07EUGPEM0108,0.29
0012927,Fil torsadé EUR bleu 80mm,07EUGPEM0109,0.06
0012931,Elé. chauf. PTC 758 cpl,07EUGPEM0110,3.74
0012941,Disque tuyau press inox,07EUGPPC0424,0.05
0012996,Kit rempl. bac capsule 758 cpl,07EUGCOS0249,1.41
0012997,Rech. cache 758 base noir,07EUGCOS0250,1
0012998,Socle de rechange 758 noir,07EUGCOS0251,6.06
0012999,Soupa sortie 758 cpl,07EUGPPC0425,0.88
0013002,Kit rempl. unité de brassage 758 sup,07EUGPPC0426,1.47
0013008,Rech réserv eau 758 cpl monté,07EUGPPC0427,2.59
0013168,Joint 758 D=8.1/5.7x3.4mm,07EUGPPC0428,0.36
0013169,Joint 008.00x1.50 EPDM,07EUGPPC0429,0.07
0013254,Vis 3x10 noir,Non Référencé CORDON,0
0013589,Tuyau silicone 05.0x2.00x280,Non Référencé CORDON,0
0013920,Tuyau silicone 742,07EUGPPC0430,0.14
0014384,Fil torsadé EUR bleu 80mm,Non Référencé CORDON,0
0014387,Tuyau soie d/verre d=6mml=110,Non Référencé CORDON,0
0014549,Rech. détecteur sachet 758,Non Référencé CORDON,0
0014550,Rech tube vap 758 cpl sac plastic,07EUGCOS0282,6.54
0014840,Disque 968 noir,07EUGPPC0431,0.06
0015121,Tuyau silicone 05.0x2.00x370,07EUGPPC0432,0.35
0015164,Loctite 241,07EUGOUT0009,79.83
