type_code,type_inter,machine_clean,type_montagne,key_ref_inter,key_factu,prod_factu,tarif_factu
1,Curative,Aguila 2,,1 - Curative - Aguila 2,1 - Curative - Aguila 2,3,546
1,Curative,Aguila 2,Montagne,1 - Curative - Aguila 2 - Montagne,1 - Curative - Aguila 2 - Montagne,3,726
1,Curative,Aguila 4,,1 - Curative - Aguila 4,1 - Curative - Aguila 4,3,546
1,Curative,Aguila 4,Montagne,1 - Curative - Aguila 4 - Montagne,1 - Curative - Aguila 4 - Montagne,3,726
2,Mini preventive,Aguila 2,,2 - Mini preventive - Aguila 2,2 - Mini preventive - Aguila 2,2,246
2,Mini preventive,Aguila 2,Montagne,2 - Mini preventive - Aguila 2 - Montagne,2 - Mini preventive - Aguila 2 - Montagne,2,328
2,Mini preventive,Aguila 4,,2 - Mini preventive - Aguila 4,2 - Mini preventive - Aguila 4,3,410
2,Mini preventive,Aguila 4,Montagne,2 - Mini preventive - Aguila 4 - Montagne,2 - Mini preventive - Aguila 4 - Montagne,3,546
2,Preventive,Aguila 2,,2 - Preventive - Aguila 2,2 - Preventive - Aguila 2,4,491
2,Preventive,Aguila 2,Montagne,2 - Preventive - Aguila 2 - Montagne,2 - Preventive - Aguila 2 - Montagne,4,655
2,Preventive,Aguila 4,,2 - Preventive - Aguila 4,2 - Preventive - Aguila 4,6,655
2,Preventive,Aguila 4,Montagne,2 - Preventive - Aguila 4 - Montagne,2 - Preventive - Aguila 4 - Montagne,6,871
2,Preventive,Gemini,,2 - Preventive - Gemini,2 - Preventive - Gemini,1,90
2,Preventive,Gemini,Montagne,2 - Preventive - Gemini - Montagne,2 - Preventive - Gemini,1,90
2,Preventive,MOMENTO 100,,2 - Preventive - MOMENTO 100,2 - Preventive - MOMENTO 100,1,90
2,Preventive,MOMENTO 100,Montagne,2 - Preventive - MOMENTO 100 - Montagne,2 - Preventive - MOMENTO 100,1,90
2,Preventive,MOMENTO 120,,2 - Preventive - MOMENTO 120,2 - Preventive - MOMENTO 120,4,491
2,Preventive,MOMENTO 120,Montagne,2 - Preventive - MOMENTO 120 - Montagne,2 - Preventive - MOMENTO 120,4,491
2,Preventive,MOMENTO 200,,2 - Preventive - MOMENTO 200,2 - Preventive - MOMENTO 200,1,90
2,Preventive,MOMENTO 200,Montagne,2 - Preventive - MOMENTO 200 - Montagne,2 - Preventive - MOMENTO 200,1,90
2,Preventive,Zenius,,2 - Preventive - Zenius,2 - Preventive - Zenius,1,90
2,Preventive,Zenius,Montagne,2 - Preventive - Zenius - Montagne,2 - Preventive - Zenius,1,90
3,Mise a jour,MOMENTO 120,,3 - Mise a jour - MOMENTO 120,3 - Mise à jour - MOMENTO 120,2,273
5,Curative,Aguila 2,,5 - Curative - Aguila 2,5 - Curative - Aguila 2,2,185
5,Curative,Aguila 2,Montagne,5 - Curative - Aguila 2 - Montagne,5 - Curative - Aguila 2 - Montagne,2,248
5,Curative,Aguila 4,,5 - Curative - Aguila 4,5 - Curative - Aguila 4,2,185
