nom_machine,categorie_machine,machine_clean
AG220,AGUILA,Aguila 2
AG420,AGUILA,Aguila 4
AG440,AGUILA,Aguila 4
Chassis Momento 100,Momento,MOMENTO 100
Chassis Momento 200,Momento,MOMENTO 200
Chassis Momento Milk,Momento,MOMENTO 120
Momento 100,Momento,MOMENTO 100
Momento 200,Momento,MOMENTO 200
CS100,Transportable,Gemini
CS20,Transportable,Gemini
CS200,Transportable,Gemini
CS203,Transportable,Gemini
CS220,Transportable,Gemini
CS223,Transportable,Gemini
DISPENSER mini tower,Momento,Dispenser Mini Tower
DISPENSER sidebyside,Momento,Dispenser Side By Side
ES100,Transportable,ES100
Module Café,Momento,MOMENTO 100
Module Lait,Momento,MOMENTO 120
ZENIUS,Transportable,Zenius
DISPENSER,Transportable,Gemini
