obj_vol_annee,obj_vol_anneemois,obj_vol_mois,obj_vol_type_inter,obj_vol_type_machine,obj_vol_key_item,obj_vol_alias_type_inter,obj_vol_alias_type_machine,obj_vol_grp_machine,obj_vol_objectif_valeur
2025,20251,1,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,430
2025,20251,1,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,17
2025,20251,1,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,638
2025,20251,1,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,607
2025,20251,1,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,76
2025,20251,1,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,145
2025,20251,1,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,6
2025,20251,1,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,65
2025,20251,1,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,3
2025,20251,1,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,20251,1,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,27
2025,20251,1,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,216
2025,20251,1,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,8
2025,20251,1,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,159
2025,20251,1,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,50
2025,20251,1,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,58
2025,20252,2,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,426
2025,20252,2,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,7
2025,20252,2,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,491
2025,20252,2,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,543
2025,20252,2,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,40
2025,20252,2,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,109
2025,20252,2,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,10
2025,20252,2,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,129
2025,20252,2,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,7
2025,20252,2,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,2
2025,20252,2,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,17
2025,20252,2,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,374
2025,20252,2,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,20
2025,20252,2,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,148
2025,20252,2,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,142
2025,20252,2,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,90
2025,20253,3,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,425
2025,20253,3,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,25
2025,20253,3,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,513
2025,20253,3,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,536
2025,20253,3,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,82
2025,20253,3,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,117
2025,20253,3,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,8
2025,20253,3,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,163
2025,20253,3,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,3
2025,20253,3,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,20253,3,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,12
2025,20253,3,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,207
2025,20253,3,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,8
2025,20253,3,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,228
2025,20253,3,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,135
2025,20253,3,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,83
2025,20254,4,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,429
2025,20254,4,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,25
2025,20254,4,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,517
2025,20254,4,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,541
2025,20254,4,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,82
2025,20254,4,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,116
2025,20254,4,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,8
2025,20254,4,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,164
2025,20254,4,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,4
2025,20254,4,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,20254,4,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,13
2025,20254,4,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,208
2025,20254,4,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,7
2025,20254,4,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,230
2025,20254,4,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,135
2025,20254,4,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,83
2025,20255,5,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,384
2025,20255,5,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,23
2025,20255,5,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,75
2025,20255,5,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,547
2025,20255,5,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,105
2025,20255,5,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,8
2025,20255,5,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,144
2025,20255,5,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,4
2025,20255,5,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,20255,5,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,12
2025,20255,5,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,163
2025,20255,5,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,7
2025,20255,5,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,66
2025,20255,5,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,523
2025,20255,5,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,216
2025,20255,5,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,103
2025,20256,6,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,420
2025,20256,6,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,25
2025,20256,6,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,80
2025,20256,6,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,576
2025,20256,6,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,605
2025,20256,6,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,113
2025,20256,6,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,7
2025,20256,6,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,159
2025,20256,6,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,4
2025,20256,6,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,20256,6,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,12
2025,20256,6,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,208
2025,20256,6,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,7
2025,20256,6,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,237
2025,20256,6,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,81
2025,20256,6,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,140
2025,20257,7,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,378
2025,20257,7,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,22
2025,20257,7,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,72
2025,20257,7,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,513
2025,20257,7,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,542
2025,20257,7,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,103
2025,20257,7,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,7
2025,20257,7,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,142
2025,20257,7,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,3
2025,20257,7,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,20257,7,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,12
2025,20257,7,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,183
2025,20257,7,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,7
2025,20257,7,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,213
2025,20257,7,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,73
2025,20257,7,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,129
2025,20258,8,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,297
2025,20258,8,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,17
2025,20258,8,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,55
2025,20258,8,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,397
2025,20258,8,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,418
2025,20258,8,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,80
2025,20258,8,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,5
2025,20258,8,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,108
2025,20258,8,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,3
2025,20258,8,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,20258,8,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,9
2025,20258,8,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,135
2025,20258,8,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,5
2025,20258,8,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,165
2025,20258,8,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,56
2025,20258,8,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,99
2025,20259,9,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,405
2025,20259,9,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,24
2025,20259,9,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,78
2025,20259,9,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,556
2025,20259,9,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,583
2025,20259,9,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,108
2025,20259,9,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,7
2025,20259,9,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,153
2025,20259,9,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,3
2025,20259,9,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,20259,9,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,12
2025,20259,9,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,197
2025,20259,9,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,7
2025,20259,9,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,229
2025,20259,9,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,79
2025,20259,9,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,136
2025,202510,10,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,450
2025,202510,10,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,26
2025,202510,10,curative1,aguila,curative1_aguila,CURATIVE NIVEAU 1,AGUILA,AGUILA,86
2025,202510,10,curative,gemini,curative_gemini,CURATIVE,GEMINI,TRANSPORTABLES,622
2025,202510,10,curative,zenius,curative_zenius,CURATIVE,ZENIUS,TRANSPORTABLES,651
2025,202510,10,curative2,aguila,curative2_aguila,CURATIVE NIVEAU 2,AGUILA,AGUILA,121
2025,202510,10,curative3,aguila,curative3_aguila,CURATIVE NIVEAU 3,AGUILA,AGUILA,8
2025,202510,10,installation,momento,installation_momento,INSTALLATION,MOMENTO,TRANSPORTABLES,172
2025,202510,10,installation,momentomilk,installation_momentomilk,INSTALLATION,MOMENTO MILK,TRANSPORTABLES,3
2025,202510,10,installation,gemini,installation_gemini,INSTALLATION,GEMINI,TRANSPORTABLES,0
2025,202510,10,installation,aguila,installation_aguila,INSTALLATION,AGUILA,AGUILA,13
2025,202510,10,preventive,momento,preventive_momento,PREVENTIVE,MOMENTO,TRANSPORTABLES,222
2025,202510,10,preventive,momentomilk,preventive_momentomilk,PREVENTIVE,MOMENTO MILK,TRANSPORTABLES,8
2025,202510,10,preventive,gemini,preventive_gemini,PREVENTIVE,GEMINI,TRANSPORTABLES,255
2025,202510,10,preventive,aguila,preventive_aguila,PREVENTIVE,AGUILA,AGUILA,87
2025,202510,10,preventive,zenius,preventive_zenius,PREVENTIVE,ZENIUS,TRANSPORTABLES,152
2025,202511,11,curative,momento,curative_momento,CURATIVE,MOMENTO,TRANSPORTABLES,384
2025,202511,11,curative,momentomilk,curative_momentomilk,CURATIVE,MOMENTO MILK,TRANSPORTABLES,23
