company_code,device_serial_number,product_type,forced_source,is_takeover,date_from,date_to
CN1046,AS00446,THE,CHARGEMENT,true,,2025-08-28
CN1046,AS00446,CAFE CAPS,CHARGEMENT,true,,2025-08-28
CN1046,AS00446,CHOCOLATS VAN HOUTEN,CHARGEMENT,true,,2025-08-28
CN1046,AS00446,ACCESSOIRES,CHARGEMENT,true,,
CN1046,AS00446,,TELEMETRIE,true,2025-08-28,
CN1070,,CAFE CAPS,TELEMETRIE,false,,2025-03-01
CN1070,,THE,TELEMETRIE,false,,2025-03-01
CN1071,,THE,CHARGEMENT,false,,
CN1027,AS00914,CAFE CAPS,TELEMETRIE,false,,
CN1027,AS00914,THE,TELEMETRIE,false,,
CN1027,AS00915,CAFE CAPS,TELEMETRIE,false,,
CN1027,AS00915,THE,TELEMETRIE,false,,
