device_name,device_group
OPTIBEANX12 + MODULO,ANIMO GRAIN + MODULO
DISPENSER MOMENTO SBS,MOMENTO CAPS
OPTIBEANX22 + MODULO,ANIMO GRAIN + MODULO
MINITOWER MOMENTO,MOMENTO CAPS
TOWER MOMENTO CUP,MOMENTO CAPS
MILANO LYO FTS120,LYO
MILANO GRAIN FTS60E + MODULO,MILANO GRAIN + MODULO
EUROPA,FAS
MINITOWER AG220,GEMINI CAPS
MILANO LYO FTS120 + MODULO,LYO + MODULO
MINITOWER GEMINI,GEMINI CAPS
LUCE,FAS
DISPENSER MOMENTO TWR,MOMENTO CAPS
FAS 750 EXCELLENCE,FAS
TOWER GEMINI,GEMINI CAPS
MINITOWER AG420,GEMINI CAPS
TOWER OPTIBEAN X12 + MODULO THE,ANIMO GRAIN + MODULO
OPTIBEAN X 12 TS,ANIMO GRAIN
MILANO LYO FTS60,LYO
OPTIME12,ANIMO GRAIN
FAS 1050 EXCELLENCE,FAS
TOWER MOMENTO,MOMENTO CAPS
TOWER OPTIBEAN X12 TS,ANIMO GRAIN
SBS MOMENTO 200,MOMENTO CAPS
OPTIBEAN X 22,ANIMO GRAIN
DISPENSER GEMINI,GEMINI CAPS
SBS MOMENTO 100,MOMENTO CAPS
FAS 900 EXCELLENCE,FAS
OPTIBEAN X 12,ANIMO GRAIN
OPTIBEANX12TS + MODULO,ANIMO GRAIN + MODULO
TOWER OPTIBEAN X12,ANIMO GRAIN
MILANO GRAIN FTS60E,MILANO GRAIN
MILANO LYO FTS60 + MODULO,LYO + MODULO
