TYPE_INTER,MACHINE,KEY,MARQUE,METROPOLE,Type_tarif,Montant,PROD
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,0,Remise niv1,139,1
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,0,Remise niv2,102,1
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,0,Tarif normal,185,1
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,1,Remise niv1,116,1
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,1,Remise niv2,85,1
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,1,Tarif normal,155,1
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,0,Remise niv1,101,1
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,0,Remise niv2,74,1
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,0,Tarif normal,135,1
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,1,Remise niv1,79,1
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,1,Remise niv2,58,1
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,1,Tarif normal,105,1
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,0,Remise niv1,94,1
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,0,Remise niv2,69,1
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,0,Tarif normal,125,1
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,1,Remise niv1,71,1
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,1,Remise niv2,52,1
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,1,Tarif normal,95,1
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,0,Remise niv1,94,1
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,0,Remise niv2,69,1
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,0,Tarif normal,125,1
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,1,Remise niv1,71,1
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,1,Remise niv2,52,1
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,1,Tarif normal,95,1
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,0,Remise niv1,109,1
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,0,Remise niv2,109,1
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,0,Tarif normal,115,1
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,1,Remise niv1,86,1
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,1,Remise niv2,63,1
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,1,Tarif normal,115,1
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,0,Remise niv1,109,1
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,0,Remise niv2,109,1
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,0,Tarif normal,115,1
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,1,Remise niv1,86,1
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,1,Remise niv2,63,1
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,1,Tarif normal,115,1
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,0,Remise niv1,300,1
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,0,Remise niv2,220,1
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,0,Tarif normal,400,1
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,1,Remise niv1,278,1
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,1,Remise niv2,204,1
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,1,Tarif normal,370,1
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,0,Remise niv1,94,1
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,0,Remise niv2,69,1
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,0,Tarif normal,125,1
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,1,Remise niv1,71,1
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,1,Remise niv2,52,1
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,1,Tarif normal,95,1
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,0,Remise niv1,144,1
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,0,Remise niv2,117,1
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,0,Tarif normal,180,1
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,1,Remise niv1,120,1
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,1,Remise niv2,93,1
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,1,Tarif normal,150,1
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,0,Remise niv1,168,1
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,0,Remise niv2,137,1
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,0,Tarif normal,210,1
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,1,Remise niv1,144,1
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,1,Remise niv2,116,1
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,1,Tarif normal,180,1
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,0,Remise niv1,144,1
