TYPE_INTER,MACHINE,KEY,MARQUE,METROPOLE,Type_tarif,Montant,PROD,valid_from,valid_to
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,0,Remise niv1,139,1,2000-01-01,2025-12-31
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,0,Remise niv2,102,1,2000-01-01,2025-12-31
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,0,Tarif normal,185,1,2000-01-01,2025-12-31
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,1,Remise niv1,116,1,2000-01-01,2025-12-31
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,1,Remise niv2,85,1,2000-01-01,2025-12-31
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,1,Tarif normal,155,1,2000-01-01,2025-12-31
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,0,Remise niv1,101,1,2000-01-01,2025-12-31
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,0,Remise niv2,74,1,2000-01-01,2025-12-31
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,0,Tarif normal,135,1,2000-01-01,2025-12-31
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,1,Remise niv1,79,1,2000-01-01,2025-12-31
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,1,Remise niv2,58,1,2000-01-01,2025-12-31
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,1,Tarif normal,105,1,2000-01-01,2025-12-31
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,0,Remise niv1,101,1,2000-01-01,2025-12-31
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,0,Remise niv2,74,1,2000-01-01,2025-12-31
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,0,Tarif normal,135,1,2000-01-01,2025-12-31
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,1,Remise niv1,79,1,2000-01-01,2025-12-31
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,1,Remise niv2,58,1,2000-01-01,2025-12-31
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,1,Tarif normal,105,1,2000-01-01,2025-12-31
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,0,Remise niv1,94,1,2000-01-01,2025-12-31
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,0,Remise niv2,69,1,2000-01-01,2025-12-31
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,0,Tarif normal,125,1,2000-01-01,2025-12-31
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,1,Remise niv1,71,1,2000-01-01,2025-12-31
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,1,Remise niv2,52,1,2000-01-01,2025-12-31
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,1,Tarif normal,95,1,2000-01-01,2025-12-31
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,0,Remise niv1,94,1,2000-01-01,2025-12-31
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,0,Remise niv2,69,1,2000-01-01,2025-12-31
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,0,Tarif normal,125,1,2000-01-01,2025-12-31
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,1,Remise niv1,71,1,2000-01-01,2025-12-31
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,1,Remise niv2,52,1,2000-01-01,2025-12-31
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,1,Tarif normal,95,1,2000-01-01,2025-12-31
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,0,Remise niv1,94,1,2000-01-01,2025-12-31
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,0,Remise niv2,69,1,2000-01-01,2025-12-31
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,0,Tarif normal,125,1,2000-01-01,2025-12-31
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,1,Remise niv1,71,1,2000-01-01,2025-12-31
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,1,Remise niv2,52,1,2000-01-01,2025-12-31
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,1,Tarif normal,95,1,2000-01-01,2025-12-31
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,0,Remise niv1,109,1,2000-01-01,2025-12-31
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,0,Remise niv2,109,1,2000-01-01,2025-12-31
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,0,Tarif normal,115,1,2000-01-01,2025-12-31
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,1,Remise niv1,86,1,2000-01-01,2025-12-31
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,1,Remise niv2,63,1,2000-01-01,2025-12-31
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,1,Tarif normal,115,1,2000-01-01,2025-12-31
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,0,Remise niv1,109,1,2000-01-01,2025-12-31
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,0,Remise niv2,109,1,2000-01-01,2025-12-31
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,0,Tarif normal,115,1,2000-01-01,2025-12-31
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,1,Remise niv1,86,1,2000-01-01,2025-12-31
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,1,Remise niv2,63,1,2000-01-01,2025-12-31
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,1,Tarif normal,115,1,2000-01-01,2025-12-31
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,0,Remise niv1,300,1,2000-01-01,2025-12-31
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,0,Remise niv2,220,1,2000-01-01,2025-12-31
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,0,Tarif normal,400,1,2000-01-01,2025-12-31
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,1,Remise niv1,278,1,2000-01-01,2025-12-31
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,1,Remise niv2,204,1,2000-01-01,2025-12-31
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,1,Tarif normal,370,1,2000-01-01,2025-12-31
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,0,Remise niv1,94,1,2000-01-01,2025-12-31
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,0,Remise niv2,69,1,2000-01-01,2025-12-31
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,0,Tarif normal,125,1,2000-01-01,2025-12-31
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,1,Remise niv1,71,1,2000-01-01,2025-12-31
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,1,Remise niv2,52,1,2000-01-01,2025-12-31
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,1,Tarif normal,95,1,2000-01-01,2025-12-31
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,0,Remise niv1,200,1,2026-01-01,
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,0,Remise niv2,188,1,2026-01-01,
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,0,Tarif normal,250,1,2026-01-01,
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,1,Remise niv1,160,1,2026-01-01,
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,1,Remise niv2,150,1,2026-01-01,
CURATIVE J+1,LAVE VERRES,CURATIVE J+1_LAVE VERRES,AUUM,1,Tarif normal,200,1,2026-01-01,
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,0,Remise niv1,100,1,2026-01-01,
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,0,Remise niv2,94,1,2026-01-01,
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,0,Tarif normal,125,1,2026-01-01,
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,1,Remise niv1,92,1,2026-01-01,
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,1,Remise niv2,86,1,2026-01-01,
CURATIVE,LAVE VERRES,CURATIVE_LAVE VERRES,AUUM,1,Tarif normal,115,1,2026-01-01,
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,0,Remise niv1,100,1,2026-01-01,
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,0,Remise niv2,94,1,2026-01-01,
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,0,Tarif normal,125,1,2026-01-01,
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,1,Remise niv1,92,1,2026-01-01,
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,1,Remise niv2,86,1,2026-01-01,
CURATIVE J+2,LAVE VERRES,CURATIVE J+2_LAVE VERRES,AUUM,1,Tarif normal,115,1,2026-01-01,
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,0,Remise niv1,100,1,2026-01-01,
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,0,Remise niv2,94,1,2026-01-01,
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,0,Tarif normal,125,1,2026-01-01,
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,1,Remise niv1,80,1,2026-01-01,
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,1,Remise niv2,75,1,2026-01-01,
INSTALLATION,LAVE VERRES,INSTALLATION_LAVE VERRES,AUUM,1,Tarif normal,100,1,2026-01-01,
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,0,Remise niv1,100,1,2026-01-01,
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,0,Remise niv2,94,1,2026-01-01,
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,0,Tarif normal,125,1,2026-01-01,
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,1,Remise niv1,80,1,2026-01-01,
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,1,Remise niv2,75,1,2026-01-01,
DESINSTALLATION,LAVE VERRES,DESINSTALLATION_LAVE VERRES,AUUM,1,Tarif normal,100,1,2026-01-01,
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,0,Remise niv1,100,1,2026-01-01,
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,0,Remise niv2,94,1,2026-01-01,
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,0,Tarif normal,125,1,2026-01-01,
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,1,Remise niv1,80,1,2026-01-01,
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,1,Remise niv2,75,1,2026-01-01,
INSTALLATION TYPE A,LAVE VERRES,INSTALLATION TYPE A_LAVE VERRES,AUUM,1,Tarif normal,100,1,2026-01-01,
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,0,Remise niv1,120,1,2026-01-01,
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,0,Remise niv2,113,1,2026-01-01,
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,0,Tarif normal,150,1,2026-01-01,
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,1,Remise niv1,100,1,2026-01-01,
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,1,Remise niv2,94,1,2026-01-01,
INSTALLATION TYPE B,LAVE VERRES,INSTALLATION TYPE B_LAVE VERRES,AUUM,1,Tarif normal,125,1,2026-01-01,
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,0,Remise niv1,120,1,2026-01-01,
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,0,Remise niv2,113,1,2026-01-01,
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,0,Tarif normal,150,1,2026-01-01,
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,1,Remise niv1,100,1,2026-01-01,
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,1,Remise niv2,94,1,2026-01-01,
INSTALLATION TYPE C,LAVE VERRES,INSTALLATION TYPE C_LAVE VERRES,AUUM,1,Tarif normal,125,1,2026-01-01,
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,0,Remise niv1,300,1,2026-01-01,
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,0,Remise niv2,281,1,2026-01-01,
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,0,Tarif normal,375,1,2026-01-01,
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,1,Remise niv1,280,1,2026-01-01,
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,1,Remise niv2,263,1,2026-01-01,
MAE,LAVE VERRES,MAE_LAVE VERRES,AUUM,1,Tarif normal,350,1,2026-01-01,
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,0,Remise niv1,100,1,2026-01-01,
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,0,Remise niv2,94,1,2026-01-01,
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,0,Tarif normal,125,1,2026-01-01,
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,1,Remise niv1,80,1,2026-01-01,
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,1,Remise niv2,75,1,2026-01-01,
PREVENTIVE,LAVE VERRES,PREVENTIVE_LAVE VERRES,AUUM,1,Tarif normal,100,1,2026-01-01,
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,0,Remise niv1,144,1,2000-01-01,
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,0,Remise niv2,117,1,2000-01-01,
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,0,Tarif normal,180,1,2000-01-01,
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,1,Remise niv1,120,1,2000-01-01,
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,1,Remise niv2,93,1,2000-01-01,
AUTRE,FONTAINE A EAU,AUTRE_FONTAINE A EAU,BRITA,1,Tarif normal,150,1,2000-01-01,
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,0,Remise niv1,168,1,2000-01-01,
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,0,Remise niv2,137,1,2000-01-01,
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,0,Tarif normal,210,1,2000-01-01,
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,1,Remise niv1,144,1,2000-01-01,
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,1,Remise niv2,116,1,2000-01-01,
CURATIVE J+1,FONTAINE A EAU,CURATIVE J+1_FONTAINE A EAU,BRITA,1,Tarif normal,180,1,2000-01-01,
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,0,Remise niv1,144,1,2000-01-01,
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,0,Remise niv2,117,1,2000-01-01,
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,0,Tarif normal,180,1,2000-01-01,
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,1,Remise niv1,120,1,2000-01-01,
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,1,Remise niv2,96,1,2000-01-01,
CURATIVE J+2,FONTAINE A EAU,CURATIVE J+2_FONTAINE A EAU,BRITA,1,Tarif normal,150,1,2000-01-01,
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,BRITA,0,Remise niv1,144,1,2000-01-01,
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,BRITA,0,Remise niv2,117,1,2000-01-01,
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,BRITA,0,Tarif normal,180,1,2000-01-01,
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,BRITA,1,Remise niv1,120,1,2000-01-01,
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,BRITA,1,Remise niv2,96,1,2000-01-01,
CURATIVE,FONTAINE A EAU,CURATIVE_FONTAINE A EAU,BRITA,1,Tarif normal,150,1,2000-01-01,
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,0,Remise niv1,264,1,2000-01-01,
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,0,Remise niv2,215,1,2000-01-01,
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,0,Tarif normal,330,1,2000-01-01,
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,1,Remise niv1,240,1,2000-01-01,
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,1,Remise niv2,154,1,2000-01-01,
DEMENAGEMENT,FONTAINE A EAU,DEMENAGEMENT_FONTAINE A EAU,BRITA,1,Tarif normal,300,1,2000-01-01,
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,0,Remise niv1,144,1,2000-01-01,
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,0,Remise niv2,117,1,2000-01-01,
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,0,Tarif normal,180,1,2000-01-01,
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,1,Remise niv1,120,1,2000-01-01,
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,1,Remise niv2,108,1,2000-01-01,
DESINSTALLATION,FONTAINE A EAU,DESINSTALLATION_FONTAINE A EAU,BRITA,1,Tarif normal,150,1,2000-01-01,
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,0,Remise niv1,264,3,2000-01-01,
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,0,Remise niv2,215,3,2000-01-01,
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,0,Tarif normal,330,3,2000-01-01,
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,1,Remise niv1,240,3,2000-01-01,
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,1,Remise niv2,185,3,2000-01-01,
INSTALLATION,FONTAINE A EAU,INSTALLATION_FONTAINE A EAU,BRITA,1,Tarif normal,300,3,2000-01-01,
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,0,Remise niv1,144,1,2000-01-01,
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,0,Remise niv2,117,1,2000-01-01,
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,0,Tarif normal,180,1,2000-01-01,
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,1,Remise niv1,120,1,2000-01-01,
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,1,Remise niv2,77,1,2000-01-01,
PLANPREVENTION,FONTAINE A EAU,PLANPREVENTION_FONTAINE A EAU,BRITA,1,Tarif normal,150,1,2000-01-01,
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,0,Remise niv1,100,1,2000-01-01,
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,0,Remise niv2,81,1,2000-01-01,
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,0,Tarif normal,125,1,2000-01-01,
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,1,Remise niv1,76,1,2000-01-01,
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,1,Remise niv2,62,1,2000-01-01,
PRELEVEMENT EAU,FONTAINE A EAU,PRELEVEMENT EAU_FONTAINE A EAU,BRITA,1,Tarif normal,95,1,2000-01-01,
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,0,Remise niv1,144,1,2000-01-01,
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,0,Remise niv2,117,1,2000-01-01,
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,0,Tarif normal,180,1,2000-01-01,
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,1,Remise niv1,120,1,2000-01-01,
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,1,Remise niv2,93,1,2000-01-01,
PREVENTIVE,FONTAINE A EAU,PREVENTIVE_FONTAINE A EAU,BRITA,1,Tarif normal,150,1,2000-01-01,
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAAN,0,Remise niv1,116,1,2000-01-01,
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAAN,0,Remise niv2,85,1,2000-01-01,
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAAN,0,Tarif normal,155,1,2000-01-01,
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAAN,1,Remise niv1,116,1,2000-01-01,
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAAN,1,Remise niv2,85,1,2000-01-01,
CURATIVE J+1,LAVE VAISSELLE,CURATIVE J+1_LAVE VAISSELLE,DAAN,1,Tarif normal,155,1,2000-01-01,
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAAN,0,Remise niv1,79,1,2000-01-01,
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAAN,0,Remise niv2,58,1,2000-01-01,
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAAN,0,Tarif normal,105,1,2000-01-01,
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAAN,1,Remise niv1,79,1,2000-01-01,
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAAN,1,Remise niv2,58,1,2000-01-01,
CURATIVE J+2,LAVE VAISSELLE,CURATIVE J+2_LAVE VAISSELLE,DAAN,1,Tarif normal,105,1,2000-01-01,
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,DAAN,0,Remise niv1,71,1,2000-01-01,
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,DAAN,0,Remise niv2,52,1,2000-01-01,
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,DAAN,0,Tarif normal,95,1,2000-01-01,
DESINSTALLATION,LAVE VAISSELLE,DESINSTALLATION_LAVE VAISSELLE,DAAN,1,Remise niv1,71,1,2000-01-01,
